i,v
458,1.10192
459,1.10195
460,1.10773
461,1.23141
462,1.46206
463,1.73507
464,1.65826
465,1.5105
466,1.31642
467,1.12692
468,1.11994
469,1.08931
470,1.08153
471,1.07313
472,1.13735
473,1.51816
474,2.05736
475,2.23152
476,2.19366
477,2.18921
478,1.92649
479,1.58151
480,1.28604
481,1.10697
482,1.098
483,1.10438
484,1.10826
485,1.21872
486,1.46447
487,1.73844
488,1.64449
489,1.3915
490,1.2051
491,1.01794
492,1.00464
493,0.98318
494,0.949207
495,0.93182
496,1.00123
497,1.3977
498,2.06795
499,2.24938
500,2.20526
501,2.1844
502,1.90062
503,1.54561
504,1.24536
505,1.05855
506,1.03127
507,1.01859
508,1.01875
509,1.12967
510,1.37556
511,1.66035
512,1.57558
513,1.34145
514,1.17945
515,1.0221
516,1.007
517,0.982083
518,0.951584
519,0.944726
520,1.01954
521,1.41433
522,2.07666
523,2.25847
524,2.21698
525,2.19521
526,1.91731
527,1.57038
528,1.278
529,1.09752
530,1.07998
531,1.07835
532,1.08562
533,1.20642
534,1.44884
535,1.72401
536,1.64238
537,1.52217
538,1.34404
539,1.15706
540,1.13893
541,1.09985
542,1.08187
543,1.07392
544,1.14275
545,1.53233
546,2.08689
547,2.26108
548,2.2275
549,2.21755
550,1.9475
551,1.59006
552,1.28815
553,1.1152
554,1.09133
555,1.08806
556,1.09183
557,1.20658
558,1.44088
559,1.70641
560,1.62566
561,1.50087
562,1.32382
563,1.13937
564,1.13131
565,1.09766
566,1.07712
567,1.06269
568,1.131
569,1.51881
570,2.06319
571,2.23808
572,2.19872
573,2.1912
574,1.9169
575,1.5738
576,1.28644
577,1.11378
578,1.1049
579,1.10248
580,1.10151
581,1.21802
582,1.46128
583,1.73336
584,1.64993
585,1.51598
586,1.34235
587,1.17053
588,1.15732
589,1.12044
590,1.09751
591,1.08697
592,1.15315
593,1.54286
594,2.09114
595,2.25767
596,2.21375
597,2.1965
598,1.92104
599,1.57913
600,1.28782
601,1.10068
602,1.0831
603,1.08353
604,1.07837
605,1.18937
606,1.43012
607,1.7011
608,1.61521
609,1.49929
610,1.34113
611,1.14943
612,1.11748
613,1.07297
614,1.05455
615,1.04443
616,1.11966
617,1.51465
618,2.00415
619,2.23113
620,2.18702
621,2.16764
622,1.88119
623,1.5322
624,1.2447
625,1.06828
626,1.05256
627,1.04647
628,1.03784
629,1.15201
630,1.40006
631,1.68338
632,1.59834
633,1.44977
634,1.26937
635,1.10158
636,1.09485
637,1.06587
638,1.06426
639,1.05782
640,1.12608
641,1.50427
642,1.97773
643,2.20509
644,2.16527
645,2.1534
646,1.87897
647,1.52944
648,1.25005
649,1.07829
650,1.06111
651,1.05967
652,1.06928
653,1.18506
654,1.42793
655,1.7046
656,1.61634
657,1.37006
658,1.19194
659,1.00778
660,0.992253
661,0.97291
662,0.934764
663,0.908164
664,0.976819
665,1.37937
666,1.99134
667,2.22254
668,2.17361
669,2.15339
670,1.87034
671,1.51431
672,1.21945
673,1.03732
674,1.01108
675,1.00125
676,0.995397
677,1.10178
678,1.33907
679,1.61353
680,1.53064
681,1.30623
682,1.15098
683,0.98487
684,0.992257
685,0.995905
686,0.978873
687,0.991946
688,1.07526
689,1.46242
690,2.05758
691,2.28469
692,2.24058
693,2.22127
694,1.93942
695,1.58855
696,1.29221
697,1.10714
698,1.07665
699,1.06146
700,1.05838
701,1.16567
702,1.39338
703,1.66023
704,1.59117
705,1.48335
706,1.32427
707,1.15313
708,1.13696
709,1.09973
710,1.08592
711,1.07494
712,1.14078
713,1.53153
714,2.02443
715,2.25338
716,2.20947
717,2.19176
718,1.90992
719,1.5616
720,1.2681
721,1.08473
722,1.05976
723,1.05059
724,1.05493
725,1.16601
726,1.39782
727,1.67254
728,1.53875
729,1.48144
730,1.31642
731,1.14341
732,1.15443
733,1.13872
734,1.12313
735,1.11268
736,1.17271
737,1.55118
738,2.03638
739,2.26243
740,2.21703
741,2.19368
742,1.91656
743,1.56759
744,1.26937
745,1.08155
746,1.05258
747,1.04247
748,1.04239
749,1.15543
750,1.39105
751,1.66215
752,1.52684
753,1.4623
754,1.28926
755,1.11217
756,1.10501
757,1.07026
758,1.05759
759,1.04722
760,1.1145
761,1.50184
762,1.98365
763,2.21403
764,2.17252
765,2.15502
766,1.87495
767,1.52733
768,1.23941
769,1.06557
770,1.04801
771,1.04445
772,1.04902
773,1.16141
774,1.39439
775,1.66334
776,1.52765
777,1.46668
778,1.30336
779,1.13268
780,1.12991
781,1.09918
782,1.08539
783,1.07338
784,1.14059
785,1.52847
786,2.01058
787,2.23547
788,2.19496
789,2.18506
790,1.91225
791,1.56041
792,1.25909
793,1.07119
794,1.04556
795,1.03637
796,1.03609
797,1.14875
798,1.38454
799,1.65712
800,1.52613
801,1.46976
802,1.30783
803,1.13363
804,1.12589
805,1.09198
806,1.07376
807,1.05768
808,1.12057
809,1.50839
810,1.99161
811,2.22044
812,2.17918
813,2.16384
814,1.88726
815,1.53906
816,1.24614
817,1.0669
818,1.04488
819,1.03563
820,1.03354
821,1.1488
822,1.39088
823,1.67023
824,1.52543
825,1.33894
826,1.16952
827,0.992634
828,0.982158
829,0.960073
830,0.927032
831,0.913933
832,0.980113
833,1.37024
834,1.92078
835,2.21296
836,2.16874
837,2.14966
838,1.8695
839,1.52183
840,1.23436
841,1.06163
842,1.0429
843,1.0357
844,1.03521
845,1.14858
846,1.38582
847,1.66018
848,1.51184
849,1.32332
850,1.15236
851,0.978071
852,0.972744
853,0.95587
854,0.929278
855,0.921444
856,0.992759
857,1.38262
858,1.93041
859,2.21985
860,2.17497
861,2.15727
862,1.87668
863,1.52025
864,1.21743
865,1.03102
866,1.00563
867,0.995172
868,0.997019
869,1.10779
870,1.3386
871,1.60916
872,1.47866
873,1.42798
874,1.27882
875,1.1116
876,1.09767
877,1.06406
878,1.0499
879,1.03883
880,1.10695
881,1.49508
882,1.92065
883,2.20725
884,2.16684
885,2.15013
886,1.87085
887,1.51775
888,1.22177
889,1.03945
890,1.02008
891,1.01842
892,1.02409
893,1.137
894,1.36998
895,1.63916
896,1.50654
897,1.45343
898,1.30121
899,1.13252
900,1.11703
901,1.07518
902,1.05719
903,1.04825
904,1.11804
905,1.50787
906,1.93556
907,2.21652
908,2.17084
909,2.14931
910,1.86559
911,1.51108
912,1.21268
913,1.03149
914,1.00519
915,0.989538
916,0.982869
917,1.09472
918,1.33466
919,1.61292
920,1.48022
921,1.4183
922,1.26259
923,1.10075
924,1.10416
925,1.0824
926,1.07472
927,1.06835
928,1.13909
929,1.5271
930,1.94914
931,2.22438
932,2.17857
933,2.16085
934,1.88126
935,1.52925
936,1.23247
937,1.05106
938,1.03165
939,1.0267
940,1.02853
941,1.14366
942,1.38206
943,1.65785
944,1.51726
945,1.44213
946,1.26578
947,1.0969
948,1.09883
949,1.0722
950,1.06066
951,1.04905
952,1.11683
953,1.5059
954,1.93169
955,2.21332
956,2.16962
957,2.15339
958,1.87514
959,1.52154
960,1.22174
961,1.03538
962,1.0129
963,1.00979
964,1.01613
965,1.13264
966,1.37001
967,1.64391
968,1.51341
969,1.46156
970,1.30717
971,1.13109
972,1.11885
973,1.08603
974,1.06604
975,1.04547
976,1.10899
977,1.4954
978,1.91702
979,2.20492
980,2.16511
981,2.14683
982,1.86511
983,1.51
984,1.21305
985,1.03077
986,1.0106
987,1.00639
988,1.00991
989,1.12476
990,1.36194
991,1.63608
992,1.44037
993,1.32719
994,1.17581
995,1.00207
996,0.981067
997,0.951793
998,0.914472
999,0.900108
1000,0.967296
1001,1.35604
1002,1.90617
1003,2.20257
1004,2.16263
1005,2.14608
1006,1.86664
1007,1.51177
1008,1.21254
1009,1.02931
1010,1.00423
1011,0.992114
1012,0.986433
1013,1.09751
1014,1.33603
1015,1.61281
1016,1.41843
1017,1.30599
1018,1.15243
1019,0.985065
1020,0.97477
1021,0.954132
1022,0.919658
1023,0.903618
1024,0.972403
1025,1.35909
1026,1.90873
1027,2.20532
1028,2.16533
1029,2.14908
1030,1.87008
1031,1.51612
1032,1.21848
1033,1.03587
1034,1.01339
1035,1.00543
1036,1.00486
1037,1.11856
1038,1.35689
1039,1.6326
1040,1.44436
1041,1.44245
1042,1.28603
1043,1.11075
1044,1.09349
1045,1.05623
1046,1.04024
1047,1.03036
1048,1.10004
1049,1.48851
1050,1.85174
1051,2.18664
1052,2.14339
1053,2.12975
1054,1.85556
1055,1.50536
1056,1.20834
1057,1.02845
1058,1.0084
1059,1.00101
1060,1.0006
1061,1.11433
1062,1.35293
1063,1.62912
1064,1.43001
1065,1.40623
1066,1.23787
1067,1.07584
1068,1.11993
1069,1.18103
1070,1.24146
1071,1.23116
1072,1.25812
1073,1.58516
1074,1.89421
1075,2.20373
1076,2.14242
1077,2.11881
1078,1.84648
1079,1.50008
1080,1.20448
1081,1.02255
1082,1.00042
1083,0.99367
1084,0.993768
1085,1.10529
1086,1.34023
1087,1.61185
1088,1.41266
1089,1.39832
1090,1.23932
1091,1.08225
1092,1.11909
1093,1.14578
1094,1.19222
1095,1.26355
1096,1.39048
1097,1.74601
1098,2.00861
1099,2.25757
1100,2.16769
1101,2.1309
1102,1.83853
1103,1.47148
1104,1.17148
1105,0.988561
1106,0.966413
1107,0.959643
1108,0.960027
1109,1.07392
1110,1.31297
1111,1.59044
1112,1.40121
1113,1.39403
1114,1.2386
1115,1.08437
1116,1.11652
1117,1.12882
1118,1.13677
1119,1.12896
1120,1.17113
1121,1.52709
1122,1.8721
1123,2.20176
1124,2.15088
1125,2.13005
1126,1.85091
1127,1.49674
1128,1.19753
1129,1.01249
1130,0.987784
1131,0.977083
1132,0.973473
1133,1.08946
1134,1.3353
1135,1.61946
1136,1.42937
1137,1.41638
1138,1.24879
1139,1.08079
1140,1.08031
1141,1.07668
1142,1.1059
1143,1.1203
1144,1.20398
1145,1.57068
1146,1.89472
1147,2.2084
1148,2.14793
1149,2.11911
1150,1.83259
1151,1.47872
1152,1.18142
1153,0.998754
1154,0.97883
1155,0.974804
1156,0.978564
1157,1.09668
1158,1.33804
1159,1.61753
1160,1.40938
1161,1.27463
1162,1.10635
1163,0.955602
1164,0.997509
1165,1.03023
1166,1.03497
1167,1.05362
1168,1.12616
1169,1.45445
1170,1.88844
1171,2.20776
1172,2.15583
1173,2.14025
1174,1.86249
1175,1.50918
1176,1.20942
1177,1.02367
1178,0.997609
1179,0.985238
1180,0.980617
1181,1.0933
1182,1.33274
1183,1.55436
1184,1.4142
1185,1.29788
1186,1.14179
1187,0.973287
1188,0.967785
1189,0.948176
1190,0.922577
1191,0.919215
1192,0.989677
1193,1.37554
1194,1.86704
1195,2.21672
1196,2.17518
1197,2.15908
1198,1.88022
1199,1.52654
1200,1.22819
1201,1.04612
1202,1.02299
1203,1.01351
1204,1.01034
1205,1.11736
1206,1.34714
1207,1.55841
1208,1.41286
1209,1.29488
1210,1.1388
1211,0.977905
1212,0.981826
1213,0.977632
1214,0.958523
1215,0.953135
1216,1.0309
1217,1.42055
1218,1.90322
1219,2.24129
1220,2.1897
1221,2.16513
1222,1.87854
1223,1.51812
1224,1.21271
1225,1.0244
1226,0.992146
1227,0.970765
1228,0.959982
1229,1.06809
1230,1.30504
1231,1.52802
1232,1.40169
1233,1.4072
1234,1.26491
1235,1.11002
1236,1.10901
1237,1.08706
1238,1.07543
1239,1.06187
1240,1.12817
1241,1.51571
1242,1.88693
1243,2.21946
1244,2.17376
1245,2.15499
1246,1.87427
1247,1.52213
1248,1.22652
1249,1.04552
1250,1.02674
1251,1.026
1252,1.03756
1253,1.15045
1254,1.3784
1255,1.58999
1256,1.44549
1257,1.42905
1258,1.25928
1259,1.09416
1260,1.09564
1261,1.06638
1262,1.05383
1263,1.04311
1264,1.1126
1265,1.50397
1266,1.81892
1267,2.21225
1268,2.1674
1269,2.14894
1270,1.87156
1271,1.52068
1272,1.22128
1273,1.04228
1274,1.02098
1275,1.01083
1276,1.01416
1277,1.12083
1278,1.34263
1279,1.54787
1280,1.40945
1281,1.41017
1282,1.25691
1283,1.09516
1284,1.09755
1285,1.07012
1286,1.06069
1287,1.05348
1288,1.12563
1289,1.51617
