index,usage,solar,rate
211,2.24864,0,0.11209
212,2.20933,0,0.11209
213,2.1894,0,0.07075
214,1.91212,0,0.07075
215,1.57075,0,0.07075
216,1.29291,0,0.07075
217,1.12552,0,0.07075
218,1.10133,0,0.07075
219,1.09581,0,0.07075
220,1.09791,0,0.07075
221,1.21334,0,0.07075
222,1.44422,0,0.07075
223,1.71818,0,0.07075
224,1.64604,0.0637195,0.07075
225,1.50838,0.968665,0.07075
226,1.33216,1.8357,0.07075
227,1.1569,2.44036,0.07075
228,1.14253,2.7376,0.07075
229,1.10782,2.79368,0.07075
230,1.09167,2.73132,0.07075
231,1.08276,2.27629,0.07075
232,1.15592,1.45943,0.07075
233,1.54328,0,0.07075
234,2.14091,0,0.11209
235,2.25076,0,0.11209
236,2.20964,0,0.11209
237,2.20816,0,0.07075
238,1.93231,0,0.07075
239,1.57603,0,0.07075
240,1.28189,0,0.07075
241,1.10351,0,0.07075
242,1.09094,0,0.07075
243,1.09183,0,0.07075
244,1.0955,0,0.07075
245,1.20582,0,0.07075
246,1.42937,0,0.07075
247,1.69037,0,0.07075
248,1.61287,0.0608117,0.07075
249,1.50202,0.96203,0.07075
250,1.35405,1.89858,0.07075
251,1.19538,2.48364,0.11209
252,1.1589,2.85888,0.11209
253,1.10409,2.93615,0.11209
254,1.08377,2.77368,0.21338
255,1.07098,2.3073,0.21338
256,1.13534,1.55673,0.21338
257,1.52867,0,0.21338
258,2.13637,0,0.21338
259,2.24893,0,0.21338
260,2.21722,0,0.11209
261,2.19642,0,0.11209
262,1.92501,0,0.07075
263,1.58724,0,0.07075
264,1.30363,0,0.07075
265,1.13012,0,0.07075
266,1.1097,0,0.07075
267,1.10628,0,0.07075
268,1.10151,0,0.07075
269,1.21712,0,0.07075
270,1.45858,0,0.07075
271,1.73177,0,0.07075
272,1.64708,0.0608304,0.07075
273,1.50662,0.994138,0.07075
274,1.31572,1.81743,0.07075
275,1.12984,2.42217,0.11209
276,1.12141,2.73499,0.11209
277,1.08692,2.86664,0.11209
278,1.06825,2.71691,0.21338
279,1.05508,2.25272,0.21338
280,1.12358,1.47853,0.21338
281,1.5139,0,0.21338
282,2.11451,0,0.21338
283,2.22959,0,0.21338
284,2.19456,0,0.11209
285,2.19287,0,0.11209
286,1.91957,0,0.07075
287,1.55852,0,0.07075
288,1.27125,0,0.07075
289,1.10487,0,0.2662364
290,1.08142,0,0.2662364
291,1.07286,0,0.2662364
292,1.06517,0,0.2662364
293,1.17397,0,0.2662364
294,1.42287,0,0.2662364
295,1.69648,0,0.2662364
296,1.60578,0.0645202,0.2662364
297,1.47485,1.01741,0.2662364
298,1.30094,1.82783,0.2662364
299,1.127,2.49541,0.34301372
300,1.12451,2.85045,0.34301372
301,1.0922,2.96138,0.34301372
302,1.07586,2.75313,0.45828372
303,1.06378,2.17159,0.45828372
304,1.135,1.57746,0.45828372
305,1.52624,0,0.45828372
306,2.12297,0,0.45828372
307,2.2328,0,0.45828372
308,2.18659,0,0.34301372
309,2.17092,0,0.34301372
310,1.89227,0,0.2662364
311,1.54703,0,0.2662364
312,1.26034,0,0.2662364
313,1.08019,0,0.2662364
314,1.06619,0,0.2662364
315,1.06492,0,0.2662364
316,1.06231,0,0.2662364
317,1.17305,0,0.2662364
318,1.4161,0,0.2662364
319,1.69803,0,0.2662364
320,1.6106,0.0823231,0.2662364
321,1.37655,1.01455,0.2662364
322,1.21605,1.89353,0.2662364
323,1.04461,2.43684,0.34301372
324,1.04329,2.65787,0.34301372
325,0.999027,2.93925,0.34301372
326,0.946075,2.75661,0.45828372
327,0.922638,2.30511,0.45828372
328,0.99337,1.51165,0.45828372
329,1.38925,0,0.45828372
330,2.10744,0,0.45828372
331,2.22644,0,0.45828372
332,2.18272,0,0.34301372
333,2.168,0,0.34301372
334,1.898,0,0.2662364
335,1.54178,0,0.2662364
336,1.2383,0,0.2662364
337,1.06616,0,0.2662364
338,1.05464,0,0.2662364
339,1.05463,0,0.2662364
340,1.05739,0,0.2662364
341,1.17262,0,0.2662364
342,1.40726,0,0.2662364
343,1.6809,0,0.2662364
344,1.59621,0.0806093,0.2662364
345,1.34003,0.999452,0.2662364
346,1.15286,1.84636,0.2662364
347,0.974114,2.4917,0.34301372
348,0.963923,2.63642,0.34301372
349,0.939932,2.85816,0.34301372
350,0.912168,2.71089,0.45828372
351,0.905667,2.29374,0.45828372
352,0.971201,1.58654,0.45828372
353,1.35503,0,0.45828372
354,2.0726,0,0.45828372
355,2.1935,0,0.45828372
356,2.14514,0,0.34301372
357,2.13055,0,0.34301372
358,1.85261,0,0.2662364
359,1.49554,0,0.2662364
360,1.19901,0,0.2662364
361,1.02609,0,0.2662364
362,1.00821,0,0.2662364
363,0.998347,0,0.2662364
364,0.989506,0,0.2662364
365,1.0983,0,0.2662364
366,1.33832,0,0.2662364
367,1.62887,0,0.2662364
368,1.54449,0.0773175,0.2662364
369,1.29613,0.997575,0.2662364
370,1.1255,1.82911,0.2662364
371,0.954264,2.47198,0.2662364
372,0.958646,2.77828,0.2662364
373,0.962635,2.88796,0.2662364
374,0.947231,2.55308,0.2662364
375,0.944964,2.13095,0.2662364
376,1.00819,1.65953,0.2662364
377,1.38033,0,0.2662364
378,2.08453,0,0.34301372
379,2.20225,0,0.34301372
380,2.172,0,0.34301372
381,2.15919,0,0.2662364
382,1.87881,0,0.2662364
383,1.51808,0,0.2662364
384,1.21718,0,0.2662364
385,1.04453,0,0.2662364
386,1.0212,0,0.2662364
387,1.00912,0,0.2662364
388,1.00395,0,0.2662364
389,1.11454,0,0.2662364
390,1.36115,0,0.2662364
391,1.64217,0,0.2662364
392,1.56895,0,0.2662364
393,1.44485,0.467731,0.2662364
394,1.27019,1.28314,0.2662364
395,1.09831,2.28354,0.2662364
396,1.10323,2.52705,0.2662364
397,1.09233,2.68426,0.2662364
398,1.09502,2.02035,0.2662364
399,1.0981,1.32568,0.2662364
400,1.15694,1.24813,0.2662364
