"","index","usage","solar","rate","battery"
"158",158,0.950968,2.10442,0.21338,-5
"159",159,0.944264,1.59949,0.21338,-5
"160",160,1.01542,0.70275,0.21338,0
"161",161,1.40288,0,0.21338,0
"162",162,2.11522,0,0.21338,0
"163",163,2.2301,0,0.21338,0
"164",164,2.18283,0,0.11209,0
"165",165,2.15909,0,0.11209,0
"166",166,1.87246,0,0.07075,0
"167",167,1.5153,0,0.07075,0
"168",168,1.21575,0,0.07075,0
"169",169,1.03353,0,0.07075,0
"170",170,1.0122,0,0.07075,0
"171",171,1.00585,0,0.07075,0
"172",172,1.00737,0,0.07075,0
"173",173,1.11631,0,0.07075,0
"174",174,1.34825,0,0.07075,0
"175",175,1.62314,0,0.07075,0
"176",176,1.53846,0.032829,0.07075,0
"177",177,1.30769,0.351614,0.07075,5
"178",178,1.15215,0.942232,0.07075,5
"179",179,0.990917,0.757854,0.11209,-5
"180",180,0.986887,1.07938,0.11209,5
"181",181,0.971583,2.65175,0.11209,5
"182",182,0.951872,1.96285,0.21338,-5
"183",183,0.941066,0.596289,0.21338,-5
"184",184,1.00593,0.518967,0.21338,0
"185",185,1.39416,0,0.21338,0
"186",186,2.11369,0,0.21338,0
"187",187,2.23782,0,0.21338,0
"188",188,2.1937,0,0.11209,0
"189",189,2.17761,0,0.11209,0
"190",190,1.9043,0,0.07075,0
"191",191,1.5629,0,0.07075,0
"192",192,1.26386,0,0.07075,0
"193",193,1.07788,0,0.07075,0
"194",194,1.07149,0,0.07075,0
"195",195,1.07413,0,0.07075,0
"196",196,1.07587,0,0.07075,0
"197",197,1.19391,0,0.07075,0
"198",198,1.43228,0,0.07075,0
"199",199,1.70441,0,0.07075,0
"200",200,1.62384,0,0.07075,0
"201",201,1.48928,0.100875,0.07075,0
"202",202,1.30886,0.164819,0.07075,0
"203",203,1.14695,0.703331,0.07075,0
"204",204,1.15636,2.50558,0.07075,0
"205",205,1.11535,2.77766,0.07075,0
"206",206,1.08438,2.61623,0.07075,0
"207",207,1.06867,2.08608,0.07075,0
"208",208,1.14137,1.48343,0.07075,5
"209",209,1.53382,0,0.07075,5
"210",210,2.13378,0,0.11209,-5
"211",211,2.24864,0,0.11209,-5
"212",212,2.20933,0,0.11209,0
"213",213,2.1894,0,0.07075,0
"214",214,1.91212,0,0.07075,0
"215",215,1.57075,0,0.07075,0
"216",216,1.29291,0,0.07075,0
"217",217,1.12552,0,0.07075,0
"218",218,1.10133,0,0.07075,0
"219",219,1.09581,0,0.07075,0
"220",220,1.09791,0,0.07075,0
"221",221,1.21334,0,0.07075,0
"222",222,1.44422,0,0.07075,0
"223",223,1.71818,0,0.07075,0
"224",224,1.64604,0.0637195,0.07075,0
"225",225,1.50838,0.968665,0.07075,0
"226",226,1.33216,1.8357,0.07075,0
"227",227,1.1569,2.44036,0.07075,0
"228",228,1.14253,2.7376,0.07075,0
"229",229,1.10782,2.79368,0.07075,0
"230",230,1.09167,2.73132,0.07075,0
"231",231,1.08276,2.27629,0.07075,0
"232",232,1.15592,1.45943,0.07075,5
"233",233,1.54328,0,0.07075,5
"234",234,2.14091,0,0.11209,-5
"235",235,2.25076,0,0.11209,-5
"236",236,2.20964,0,0.11209,0
"237",237,2.20816,0,0.07075,0
"238",238,1.93231,0,0.07075,0
"239",239,1.57603,0,0.07075,0
"240",240,1.28189,0,0.07075,0
"241",241,1.10351,0,0.07075,0
"242",242,1.09094,0,0.07075,0
"243",243,1.09183,0,0.07075,0
"244",244,1.0955,0,0.07075,0
"245",245,1.20582,0,0.07075,0
"246",246,1.42937,0,0.07075,0
"247",247,1.69037,0,0.07075,0
"248",248,1.61287,0.0608117,0.07075,0
"249",249,1.50202,0.96203,0.07075,5
"250",250,1.35405,1.89858,0.07075,5
"251",251,1.19538,2.48364,0.11209,-5
"252",252,1.1589,2.85888,0.11209,5
"253",253,1.10409,2.93615,0.11209,5
"254",254,1.08377,2.77368,0.21338,-5
"255",255,1.07098,2.3073,0.21338,-5
"256",256,1.13534,1.55673,0.21338,0
"257",257,1.52867,0,0.21338,0
"258",258,2.13637,0,0.21338,0
"259",259,2.24893,0,0.21338,0
"260",260,2.21722,0,0.11209,0
"261",261,2.19642,0,0.11209,0
"262",262,1.92501,0,0.07075,0
"263",263,1.58724,0,0.07075,0
"264",264,1.30363,0,0.07075,0
"265",265,1.13012,0,0.07075,0
"266",266,1.1097,0,0.07075,0
"267",267,1.10628,0,0.07075,0
"268",268,1.10151,0,0.07075,0
"269",269,1.21712,0,0.07075,0
"270",270,1.45858,0,0.07075,0
"271",271,1.73177,0,0.07075,0
"272",272,1.64708,0.0608304,0.07075,0
"273",273,1.50662,0.994138,0.07075,5
"274",274,1.31572,1.81743,0.07075,5
"275",275,1.12984,2.42217,0.11209,-5
"276",276,1.12141,2.73499,0.11209,5
"277",277,1.08692,2.86664,0.11209,5
"278",278,1.06825,2.71691,0.21338,-5
"279",279,1.05508,2.25272,0.21338,-5
"280",280,1.12358,1.47853,0.21338,0
"281",281,1.5139,0,0.21338,0
"282",282,2.11451,0,0.21338,0
"283",283,2.22959,0,0.21338,0
"284",284,2.19456,0,0.11209,0
"285",285,2.19287,0,0.11209,0
"286",286,1.91957,0,0.07075,0
"287",287,1.55852,0,0.07075,5
"288",288,1.27125,0,0.07075,5
"289",289,1.10487,0,0.2662364,-5
"290",290,1.08142,0,0.2662364,-5
"291",291,1.07286,0,0.2662364,0
"292",292,1.06517,0,0.2662364,0
"293",293,1.17397,0,0.2662364,0
"294",294,1.42287,0,0.2662364,0
"295",295,1.69648,0,0.2662364,0
"296",296,1.60578,0.0645202,0.2662364,0
"297",297,1.47485,1.01741,0.2662364,5
"298",298,1.30094,1.82783,0.2662364,5
"299",299,1.127,2.49541,0.34301372,-5
"300",300,1.12451,2.85045,0.34301372,5
"301",301,1.0922,2.96138,0.34301372,5
"302",302,1.07586,2.75313,0.45828372,-5
"303",303,1.06378,2.17159,0.45828372,-5
"304",304,1.135,1.57746,0.45828372,0
"305",305,1.52624,0,0.45828372,0
"306",306,2.12297,0,0.45828372,0
"307",307,2.2328,0,0.45828372,0
"308",308,2.18659,0,0.34301372,0
"309",309,2.17092,0,0.34301372,0
"310",310,1.89227,0,0.2662364,0
"311",311,1.54703,0,0.2662364,0
"312",312,1.26034,0,0.2662364,0
"313",313,1.08019,0,0.2662364,0
"314",314,1.06619,0,0.2662364,0
"315",315,1.06492,0,0.2662364,0
"316",316,1.06231,0,0.2662364,0
"317",317,1.17305,0,0.2662364,0
"318",318,1.4161,0,0.2662364,0
"319",319,1.69803,0,0.2662364,0
"320",320,1.6106,0.0823231,0.2662364,0
"321",321,1.37655,1.01455,0.2662364,5
"322",322,1.21605,1.89353,0.2662364,5
"323",323,1.04461,2.43684,0.34301372,-5
"324",324,1.04329,2.65787,0.34301372,5
"325",325,0.999027,2.93925,0.34301372,5
"326",326,0.946075,2.75661,0.45828372,-5
"327",327,0.922638,2.30511,0.45828372,-5
"328",328,0.99337,1.51165,0.45828372,0
"329",329,1.38925,0,0.45828372,0
"330",330,2.10744,0,0.45828372,0
"331",331,2.22644,0,0.45828372,0
"332",332,2.18272,0,0.34301372,0
"333",333,2.168,0,0.34301372,0
"334",334,1.898,0,0.2662364,0
"335",335,1.54178,0,0.2662364,0
"336",336,1.2383,0,0.2662364,0
"337",337,1.06616,0,0.2662364,0
"338",338,1.05464,0,0.2662364,0
"339",339,1.05463,0,0.2662364,0
"340",340,1.05739,0,0.2662364,0
"341",341,1.17262,0,0.2662364,0
"342",342,1.40726,0,0.2662364,0
"343",343,1.6809,0,0.2662364,0
"344",344,1.59621,0.0806093,0.2662364,0
"345",345,1.34003,0.999452,0.2662364,5
"346",346,1.15286,1.84636,0.2662364,5
"347",347,0.974114,2.4917,0.34301372,-5
"348",348,0.963923,2.63642,0.34301372,5
"349",349,0.939932,2.85816,0.34301372,5
"350",350,0.912168,2.71089,0.45828372,-5
"351",351,0.905667,2.29374,0.45828372,-5
"352",352,0.971201,1.58654,0.45828372,0
"353",353,1.35503,0,0.45828372,0
"354",354,2.0726,0,0.45828372,0
"355",355,2.1935,0,0.45828372,0
"356",356,2.14514,0,0.34301372,0
"357",357,2.13055,0,0.34301372,0
"358",358,1.85261,0,0.2662364,0
"359",359,1.49554,0,0.2662364,0
"360",360,1.19901,0,0.2662364,0
"361",361,1.02609,0,0.2662364,0
"362",362,1.00821,0,0.2662364,0
"363",363,0.998347,0,0.2662364,0
"364",364,0.989506,0,0.2662364,0
"365",365,1.0983,0,0.2662364,0
"366",366,1.33832,0,0.2662364,0
"367",367,1.62887,0,0.2662364,0
"368",368,1.54449,0.0773175,0.2662364,0
"369",369,1.29613,0.997575,0.2662364,0
"370",370,1.1255,1.82911,0.2662364,0
"371",371,0.954264,2.47198,0.2662364,0
"372",372,0.958646,2.77828,0.2662364,0
"373",373,0.962635,2.88796,0.2662364,0
"374",374,0.947231,2.55308,0.2662364,0
"375",375,0.944964,2.13095,0.2662364,0
"376",376,1.00819,1.65953,0.2662364,5
"377",377,1.38033,0,0.2662364,5
"378",378,2.08453,0,0.34301372,-5
"379",379,2.20225,0,0.34301372,-5
"380",380,2.172,0,0.34301372,0
"381",381,2.15919,0,0.2662364,0
"382",382,1.87881,0,0.2662364,0
"383",383,1.51808,0,0.2662364,0
"384",384,1.21718,0,0.2662364,0
"385",385,1.04453,0,0.2662364,0
"386",386,1.0212,0,0.2662364,0
"387",387,1.00912,0,0.2662364,0
"388",388,1.00395,0,0.2662364,0
"389",389,1.11454,0,0.2662364,0
"390",390,1.36115,0,0.2662364,0
"391",391,1.64217,0,0.2662364,0
"392",392,1.56895,0,0.2662364,0
"393",393,1.44485,0.467731,0.2662364,0
"394",394,1.27019,1.28314,0.2662364,0
"395",395,1.09831,2.28354,0.2662364,0
"396",396,1.10323,2.52705,0.2662364,0
"397",397,1.09233,2.68426,0.2662364,0
"398",398,1.09502,2.02035,0.2662364,0
"399",399,1.0981,1.32568,0.2662364,0
"400",400,1.15694,1.24813,0.2662364,5
"401",401,1.52152,0,0.2662364,5
"402",402,2.04347,0,0.34301372,-5
"403",403,2.22097,0,0.34301372,-5
"404",404,2.18953,0,0.34301372,0
"405",405,2.17596,0,0.2662364,0
"406",406,1.90349,0,0.2662364,0
"407",407,1.558,0,0.2662364,0
"408",408,1.26541,0,0.2662364,0
"409",409,1.09193,0,0.2662364,0
"410",410,1.08647,0,0.2662364,0
"411",411,1.08075,0,0.2662364,0
"412",412,1.07667,0,0.2662364,0
"413",413,1.19229,0,0.2662364,0
"414",414,1.43502,0,0.2662364,0
"415",415,1.70808,0,0.2662364,0
"416",416,1.62083,0.06032,0.2662364,0
"417",417,1.48493,0.770234,0.2662364,5
"418",418,1.30802,1.83894,0.2662364,5
"419",419,1.13324,1.52889,0.34301372,-5
"420",420,1.12958,2.67778,0.34301372,5
"421",421,1.0978,2.93388,0.34301372,5
"422",422,1.08846,2.75978,0.45828372,-5
"423",423,1.07683,2.2723,0.45828372,-5
"424",424,1.13956,1.70562,0.45828372,0
"425",425,1.52117,0,0.45828372,0
"426",426,2.06166,0,0.45828372,0
"427",427,2.23616,0,0.45828372,0
"428",428,2.19583,0,0.34301372,0
"429",429,2.1848,0,0.34301372,0
"430",430,1.9155,0,0.2662364,0
"431",431,1.57117,0,0.2662364,0
"432",432,1.273,0,0.2662364,0
"433",433,1.08919,0,0.2662364,0
"434",434,1.06518,0,0.2662364,0
"435",435,1.05299,0,0.2662364,0
"436",436,1.04753,0,0.2662364,0
"437",437,1.15714,0,0.2662364,0
"438",438,1.4,0,0.2662364,0
"439",439,1.68027,0,0.2662364,0
"440",440,1.60916,0,0.2662364,0
"441",441,1.47999,0.237904,0.2662364,5
"442",442,1.30332,0.990134,0.2662364,5
"443",443,1.13082,2.50281,0.34301372,-5
"444",444,1.12732,2.88279,0.34301372,5
"445",445,1.09717,2.87463,0.34301372,5
"446",446,1.08223,2.80055,0.45828372,-5
"447",447,1.06817,2.33133,0.45828372,-5
"448",448,1.13286,1.63813,0.45828372,0
"449",449,1.5233,0,0.45828372,0
"450",450,2.06759,0,0.45828372,0
"451",451,2.23784,0,0.45828372,0
