i,v
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0.00211181
633,0.317361
634,1.18571
635,0.55519
636,0.940762
637,2.5945
638,0.67798
639,0.276689
640,0.178506
641,0.0589808
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0.134154
658,1.09868
659,0.946713
660,0.312758
661,0.354002
662,2.75653
663,2.15509
664,1.74889
665,0.673087
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0.16142
681,1.04603
682,2.05573
683,2.65842
684,3.03208
685,3.15974
686,2.94555
687,2.57355
688,1.87745
689,0.628902
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0.182341
705,1.15062
706,2.03766
707,2.51321
708,2.87451
709,3.03493
710,2.36143
711,2.49468
712,1.88755
713,0.884286
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0.168097
729,0.9857
730,1.99476
731,2.61118
732,3.00023
733,3.22875
734,2.85249
735,2.50067
736,1.84139
737,0.964619
738,0.00866731
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0.185474
753,0.666053
754,1.59354
755,2.65394
756,2.89427
757,1.93409
758,2.29295
759,1.87891
760,1.16465
761,0.274245
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0.0666227
777,0.5187
778,0.987896
779,1.98101
780,1.30003
781,1.21953
782,0.711778
783,0.475869
784,0.645141
785,0.195991
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0.0987119
801,0.726664
802,1.38183
803,2.62859
804,2.89459
805,2.53595
806,2.80852
807,2.34455
808,1.50218
809,0.472427
810,0.0227101
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0.217858
825,0.853049
826,1.96434
827,2.68283
828,3.01052
829,3.25155
830,3.04698
831,2.27558
832,1.86796
833,0.919279
834,0.0821452
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0.161799
849,0.289107
850,0.551285
851,0.746845
852,0.868787
853,0.899678
854,0.657756
855,0.542145
856,0.370283
857,0.15928
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0.0210994
873,0.216369
874,0.422882
875,0.581103
876,0.679029
877,0.70629
878,0.660247
879,0.545296
880,0.371646
881,0.159027
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0.140499
897,0.845318
898,0.978517
